N/D;Airport;Flight Number;A/D;Time;From;To;Ops Days;Org/Nxt;Prv/Fin;Seats;A/C;STC;Frequency;Wait;;;;Season;Rotation ID;Code;Registration;Last Update;
N;LYS;AF 6143;A;1050;20251027;20260326;1234000;NTE;NTE;100;E90;J;1;;;;;W25;46;;;14MAY25 1331;
N;LYS;AF 6144;D;1130;20251027;20260326;1234000;NTE;NTE;100;E90;J;1;;;;;W25;47;;;14MAY25 1331;
N;LYS;AF 6145;A;1430;20251026;20260322;0000007;NTE;NTE;100;E90;J;1;;;;;W25;48;;;14MAY25 1331;
N;LYS;AF 6145;A;1440;20251027;20260326;1234000;NTE;NTE;100;E90;J;1;;;;;W25;49;;;03JUN25 1509;
N;LYS;AF 6145;A;1535;20251031;20260327;0000500;NTE;NTE;100;E90;J;1;;;;;W25;50;;;03JUN25 1508;
N;LYS;AF 6146;D;1510;20251026;20260322;0000007;NTE;NTE;100;E90;J;1;;;;;W25;51;;;14MAY25 1331;
N;LYS;AF 6146;D;1520;20251027;20260326;1234000;NTE;NTE;100;E90;J;1;;;;;W25;52;;;03JUN25 1508;
N;LYS;AF 6146;D;1615;20251031;20260327;0000500;NTE;NTE;100;E90;J;1;;;;;W25;53;;;03JUN25 1510;
N;LYS;AF 6147;A;1830;20251026;20260322;0000007;NTE;NTE;100;E90;J;1;;;;;W25;54;;;14MAY25 1331;
N;LYS;AF 6147;A;1840;20251027;20260326;1234000;NTE;NTE;100;E90;J;1;;;;;W25;55;;;03JUN25 1509;
N;LYS;AF 6147;A;1935;20251031;20260327;0000500;NTE;NTE;100;E90;J;1;;;;;W25;56;;;03JUN25 1508;
N;LYS;AF 6148;D;1910;20251026;20260322;0000007;NTE;NTE;100;E90;J;1;;;;;W25;57;;;14MAY25 1331;
N;LYS;AF 6148;D;1920;20251027;20260326;1234000;NTE;NTE;100;E90;J;1;;;;;W25;58;;;03JUN25 1508;
N;LYS;AF 6148;D;2030;20251031;20251219;0000500;NTE;NTE;100;E90;J;1;;;;;W25;59;;;21JUL25 1122;
