N/D;Airport;Flight Number;A/D;Time;From;To;Ops Days;Org/Nxt;Prv/Fin;Seats;A/C;STC;Frequency;Wait;;;;Season;Rotation ID;Code;Registration;Last Update;
N;LYS;AC  876;A;0835;20250330;20250330;0000007;YUL;YUL;297;333;J;1;;;;;S25;0;;;28JAN25 1944;
N;LYS;AC  876;A;0835;20250331;20250428;1000060;YUL;YUL;297;333;J;1;;;;;S25;1;;;29JAN25 1401;
N;LYS;AC  876;A;0835;20250401;20250429;0200000;YUL;YUL;297;333;J;1;;;;;S25;2;;;09APR25 1953;
N;LYS;AC  876;A;0835;20250403;20250424;0004000;YUL;YUL;297;333;J;1;;;;;S25;3;;;29JAN25 1401;
N;LYS;AC  876;A;0835;20250502;20250523;0030500;YUL;YUL;285;333;J;1;;;;;S25;4;;;23MAY25 1753;
N;LYS;AC  876;A;0835;20250504;20250527;0200007;YUL;YUL;285;333;J;1;;;;;S25;5;;;23MAY25 1753;
N;LYS;AC  876;A;0835;20250528;20250530;0030500;YUL;YUL;297;333;J;1;;;;;S25;6;;;23MAY25 1753;
N;LYS;AC  876;A;0835;20250601;20251024;0000507;YUL;YUL;297;333;J;1;;;;;S25;7;;;09APR25 1953;
N;LYS;AC  876;A;0835;20250603;20251021;0200000;YUL;YUL;297;333;J;1;;;;;S25;8;;;09APR25 1953;
N;LYS;AC  876;A;0835;20250604;20251022;0030000;YUL;YUL;297;333;J;1;;;;;S25;9;;;09APR25 1953;
N;LYS;AC  877;D;1200;20250330;20250330;0000007;YUL;YUL;297;333;J;1;;;;;S25;10;;;28JAN25 1944;
N;LYS;AC  877;D;1200;20250331;20250428;1004060;YUL;YUL;297;333;J;1;;;;;S25;11;;;27NOV24 0827;
N;LYS;AC  877;D;1200;20250401;20250429;0200000;YUL;YUL;297;333;J;1;;;;;S25;12;;;09APR25 1953;
N;LYS;AC  877;D;1200;20250502;20250523;0030500;YUL;YUL;285;333;J;1;;;;;S25;13;;;23MAY25 1753;
N;LYS;AC  877;D;1200;20250504;20250527;0200007;YUL;YUL;285;333;J;1;;;;;S25;14;;;23MAY25 1753;
N;LYS;AC  877;D;1200;20250528;20250530;0030500;YUL;YUL;297;333;J;1;;;;;S25;15;;;23MAY25 1753;
N;LYS;AC  877;D;1200;20250601;20251024;0000507;YUL;YUL;297;333;J;1;;;;;S25;16;;;09APR25 1953;
N;LYS;AC  877;D;1200;20250603;20250603;0200000;YUL;YUL;297;333;J;1;;;;;S25;17;;;10JUN25 1429;
N;LYS;AC  877;D;1200;20250604;20251022;0030000;YUL;YUL;297;333;J;1;;;;;S25;18;;;09APR25 1953;
N;LYS;AC  877;D;1200;20250617;20251021;0200000;YUL;YUL;297;333;J;1;;;;;S25;19;;;10JUN25 1429;
N;LYS;AC 7075;D;1900;20250612;20250612;0004000;YUL;YUL;0;333;P;1;;;;;S25;20;;;11JUN25 1748;
N;LYS;ADB 712F;D;1100;20250503;20250503;0000060;FCO;FCO;0;A4F;P;1;;;;;S25;21;;;24APR25 1354;
N;LYS;ADB3971;A;1000;20250502;20250502;0000500;YYR;YYR;0;A4F;H;1;;;;;S25;22;;;24APR25 1354;
N;LYS;UX  167A;D;1100;20250610;20250610;0200000;MAD;MAD;186;73H;J;1;;;;;S25;23;;;10JUN25 1022;
N;LYS;UX 1676;A;1040;20250610;20250610;0200000;ZRH;ZRH;186;73H;J;1;;;;;S25;24;;;10JUN25 1016;
N;LYS;A3  646;A;1440;20250418;20250418;0000500;ATH;ATH;174;320;J;1;;;;;S25;25;;;21MAR25 1006;
N;LYS;A3  646;A;1440;20250420;20250420;0000007;ATH;ATH;180;32N;J;1;;;;;S25;26;;;24MAR25 0706;
N;LYS;A3  646;A;1440;20250423;20250423;0030000;ATH;ATH;180;32N;J;1;;;;;S25;27;;;15APR25 0951;
N;LYS;A3  646;A;1440;20250425;20250425;0000500;ATH;ATH;180;32N;J;1;;;;;S25;28;;;07APR25 1352;
N;LYS;A3  646;A;1440;20250427;20250427;0000007;ATH;ATH;174;320;J;1;;;;;S25;29;;;24MAR25 0706;
N;LYS;A3  646;A;1440;20250430;20250430;0030000;ATH;ATH;174;320;J;1;;;;;S25;30;;;15APR25 0951;
N;LYS;A3  646;A;1440;20250502;20250502;0000500;ATH;ATH;174;320;J;1;;;;;S25;31;;;01APR25 0945;
N;LYS;A3  646;A;1440;20250504;20250504;0000007;ATH;ATH;180;32N;J;1;;;;;S25;32;;;01APR25 0945;
